"DisplayName","SamAccountName","UserPrincipalName","EmployeeID","Department","Title","Manager","Enabled","HomeDirectory","HomeDrive","DepartmentGroup","DepartmentSharedDrive","SharedDriveAccess","AccessType","DataOwner","OU","SecurityGroups"
,"Administrator",,,,,"","True",,,"","","","","","CN=Users,DC=Corp,DC=local","Group Policy Creator Owners; Domain Admins; Enterprise Admins; Schema Admins; Administrators"
,"Guest",,,,,"","False",,,"","","","","","CN=Users,DC=Corp,DC=local","Guests"
,"Elie Nzweme",,,,,"","True",,,"","","","","","CN=Users,DC=Corp,DC=local","Users; Administrators"
,"krbtgt",,,,,"","False",,,"","","","","","CN=Users,DC=Corp,DC=local","Denied RODC Password Replication Group"
"Bill Smith","bill.smith","bill.smith@Corp.local",,"IT","Manager of IT","John Williams","True",,,"IT Group","\\FILE01\Departments\IT","Modify","Birthright","IT Manager","OU=IT,OU=Departments,DC=Corp,DC=local","IT Group"
"Eric Lee","eric.lee","eric.lee@Corp.local",,"IT","HelpDesk Technician","Bill Smith","True",,,"IT Group","\\FILE01\Departments\IT","Modify","Birthright","IT Manager","OU=IT,OU=Departments,DC=Corp,DC=local","IT Group"
"James Tritt","james.tritt","james.tritt@Corp.local",,"IT","IT Technical Support Specialist","Bill Smith","True",,,"IT Group","\\FILE01\Departments\IT","Modify","Birthright","IT Manager","OU=IT,OU=Departments,DC=Corp,DC=local","IT Group"
"John Williams","john.williams","john.williams@Corp.local",,"IT","Director of IT","William Trent","True",,,"IT Group","\\FILE01\Departments\IT","Modify","Birthright","IT Manager","OU=IT,OU=Departments,DC=Corp,DC=local","IT Group"
"Janice Smith","janice.smith","janice.smith@Corp.local",,"HR","HR Manager","Kathy Arnold","True",,,"HR Group","\\FILE01\Departments\HR","Modify","Birthright","HR Manager","OU=HR,OU=Departments,DC=Corp,DC=local","HR Group"
"Jennifer Sorensen","jennifer.sorensen","jennifer.sorensen@Corp.local",,"HR","HR Generalist","Janice Smith","True",,,"HR Group","\\FILE01\Departments\HR","Modify","Birthright","HR Manager","OU=HR,OU=Departments,DC=Corp,DC=local","HR Group"
"Julie Lloyd","julie.lloyd","julie.lloyd@Corp.local",,"HR","HRIS Specialist","Janice Smith","True",,,"HR Group","\\FILE01\Departments\HR","Modify","Birthright","HR Manager","OU=HR,OU=Departments,DC=Corp,DC=local","HR Group"
"Jimmy Button","jimmy.button","jimmy.button@Corp.local",,"Accounting","Account Payable Analyst","Henry Woodward","True",,,"Accounting Group","\\FILE01\Departments\Accounting","Modify","Birthright","Accounting Manager","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group"
"Katie Clark","katie.clark","katie.clark@Corp.local",,"Accounting","Account Receivable Analyst","Henry Woodward","True",,,"Accounting Group","\\FILE01\Departments\Accounting","Modify","Birthright","Accounting Manager","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group"
"Oxana Wetherby","oxana.wetherby","oxana.wetherby@Corp.local",,"Accounting","Account Receivable Analyst","Henry Woodward","True",,,"Accounting Group","\\FILE01\Departments\Accounting","Modify","Birthright","Accounting Manager","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group"
"Henry Woodward","henry.woodward","henry.woodward@Corp.local",,"Accounting","Manager of Accounting","Benjamin Washington","True",,,"Accounting Group","\\FILE01\Departments\Accounting","Modify","Birthright","Accounting Manager","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group"
"Kevin Jones","kevin.jones","kevin.jones@Corp.local",,"Engineering","Software Engineer","Lee McCrae","True",,,"Engineering Group","\\FILE01\Departments\Engineering","Modify","Birthright","Engineering Manager","OU=Engineering,OU=Departments,DC=Corp,DC=local","Engineering Group"
"Lee McCrae","lee.mccrae","lee.mccrae@Corp.local",,"Engineering","Manager Of Engineering","William Trent","True",,,"Engineering Group","\\FILE01\Departments\Engineering","Modify","Birthright","Engineering Manager","OU=Engineering,OU=Departments,DC=Corp,DC=local","Engineering Group"
"Happy Sunday","happy.sunday","happy.sunday@Corp.local",,"Engineering","Data Engineer","Lee McCrae","True",,,"Engineering Group","\\FILE01\Departments\Engineering","Modify","Birthright","Engineering Manager","OU=Engineering,OU=Departments,DC=Corp,DC=local","Engineering Group"
"Heather Summer","heather.summer","heather.summer@Corp.local",,"Engineering","Data Analyst","Lee McCrae","True",,,"Engineering Group","\\FILE01\Departments\Engineering","Modify","Birthright","Engineering Manager","OU=Engineering,OU=Departments,DC=Corp,DC=local","Engineering Group"
"Alyssa Jensen","alyssa.jensen","alyssa.jensen@Corp.local",,"Finance","Manager of Finance","Benjamin Washington","True",,,"Finance Group","\\FILE01\Departments\Finance","Modify","Birthright","Finance Manager","OU=Finance,OU=Departments,DC=Corp,DC=local","Finance Group"
"Amy Wilcox","amy.wilcox","amy.wilcox@Corp.local",,"Finance","Payroll Specialist","Alyssa Jensen","True",,,"Finance Group","\\FILE01\Departments\Finance","Modify","Birthright","Finance Manager","OU=Finance,OU=Departments,DC=Corp,DC=local","Finance Group"
"Anthony Edwards","anthony.edwards","anthony.edwards@Corp.local",,"Finance","Treasury and Cash Management Staff","Alyssa Jensen","True",,,"Finance Group","\\FILE01\Departments\Finance","Modify","Birthright","Finance Manager","OU=Finance,OU=Departments,DC=Corp,DC=local","Finance Group"
"Andrea Forsythe","andrea.forsythe","andrea.forsythe@Corp.local",,"Finance","Finance Analyst","Alyssa Jensen","True",,,"Finance Group","\\FILE01\Departments\Finance","Modify","Birthright","Finance Manager","OU=Finance,OU=Departments,DC=Corp,DC=local","Finance Group"
"Benjamin Washington","benjamin.washington","benjamin.washington@Corp.local",,"Executives","Chief Finance Officer (CFO)","Ted Willams","True",,,"Executives Group","\\FILE01\Departments\Executives","Modify","Birthright","Executive Sponsor","OU=Executives,OU=Departments,DC=Corp,DC=local","Executives Group"
"Kathy Arnold","kathy.arnold","kathy.arnold@Corp.local",,"Executives","Chief Human Resources Officer (CHRO)","Ted Willams","True",,,"Executives Group","\\FILE01\Departments\Executives","Modify","Birthright","Executive Sponsor","OU=Executives,OU=Departments,DC=Corp,DC=local","Executives Group"
"Ted Willams","ted.williams","ted.williams@Corp.local",,"Executives","Chief Executive Officer (CEO)","","True",,,"Executives Group","\\FILE01\Departments\Executives","Modify","Birthright","Executive Sponsor","OU=Executives,OU=Departments,DC=Corp,DC=local","Executives Group"
"William Trent","william.trent","william.trent@Corp.local",,"Executives","Chief Operating Officer (COO)","Ted Willams","True",,,"Executives Group","\\FILE01\Departments\Executives","Modify","Birthright","Executive Sponsor","OU=Executives,OU=Departments,DC=Corp,DC=local","Executives Group"
"Shanon Tate","shanon.tate","shanon.tate@Corp.local",,"Customer Relations","Customer Service","Trisha Hyatt","True",,,"Customer Relations Group","\\FILE01\Departments\Customer Relations","Modify","Birthright","Customer Relations Manager","OU=Contractors,DC=Corp,DC=local","Customer Relations Group"
"Trent Allen","trent.allen","trent.allen@Corp.local",,"Customer Relations","Customer Service Representative","Trisha Hyatt","True",,,"Customer Relations Group","\\FILE01\Departments\Customer Relations","Modify","Birthright","Customer Relations Manager","OU=Customer Relations,OU=Departments,DC=Corp,DC=local","Customer Relations Group"
"Trevor Anderson","trevor.anderson","trevor.anderson@Corp.local",,"Customer Relations","Customer Service Representative","Trisha Hyatt","True",,,"Customer Relations Group","\\FILE01\Departments\Customer Relations","Modify","Birthright","Customer Relations Manager","OU=Customer Relations,OU=Departments,DC=Corp,DC=local","Customer Relations Group"
"Trisha Hyatt","trisha.hyatt","trisha.hyatt@Corp.local",,"Customer Relations","Manager Of Customer Relations","Kathy Arnold","True",,,"Customer Relations Group","\\FILE01\Departments\Customer Relations","Modify","Birthright","Customer Relations Manager","OU=Customer Relations,OU=Departments,DC=Corp,DC=local","Customer Relations Group"
"svc_backup","svc_backup","svc_backup@Corp.local",,,,"","True",,,"","","","","","OU=Service Accounts,DC=Corp,DC=local",""
"svc_splunk","svc_splunk","svc_splunk@Corp.local",,,,"","True",,,"","","","","","OU=Service Accounts,DC=Corp,DC=local",""
"svc_sql","svc_sql","svc_sql@Corp.local",,,,"","True",,,"","","","","","OU=Service Accounts,DC=Corp,DC=local",""
,"testuser",,,,,"","True",,,"","","","","","CN=Users,DC=Corp,DC=local",""
"diabled.user","diabled","diabled@Corp.local",,,,"","False",,,"","","","","","OU=Disabled Users,DC=Corp,DC=local",""
"iam.admin","iam.admin","iam@Corp.local",,,,"","True",,,"","","","","","OU=Privileged Accounts,DC=Corp,DC=local","Domain Admins"
