"ReportTimestamp","DisplayName","SamAccountName","UserPrincipalName","EmployeeID","Department","Title","Manager","Enabled","LockedOut","PasswordLastSet","LastLogonDate","HomeDirectory","HomeDrive","DepartmentGroup","DepartmentMappedDriveRoot","DepartmentSharedDrive","DepartmentEntitledFolder","DepartmentDriveLetter","SharedDriveAccess","AccessType","DataOwner","OU","SecurityGroups","PrivilegedGroups","DepartmentGroupCompliant","SharePathExists","JMLReady","MissingJMLAttributes"
"2026-07-28T10:31:31.2731451-07:00",,"krbtgt",,,,,"","False","False","5/30/2026 3:42:59 PM",,,,"","","","","","","","","CN=Users,DC=Corp,DC=local","Denied RODC Password Replication Group; Domain Users","","NotApplicable","False","NotManaged","EmployeeID; Department; Title; Manager; UserPrincipalName"
"2026-07-28T10:31:31.2731451-07:00",,"testuser",,,,,"","True","False","6/15/2026 3:22:25 AM",,,,"","","","","","","","","CN=Users,DC=Corp,DC=local","Domain Users","","NotApplicable","False","NotManaged","EmployeeID; Department; Title; Manager; UserPrincipalName"
"2026-07-28T10:31:31.2731451-07:00",,"Elie Nzweme",,,,,"","True","False","5/30/2026 2:12:48 PM","7/23/2026 7:39:25 PM",,,"","","","","","","","","CN=Users,DC=Corp,DC=local","Administrators; Domain Users; Users","Administrators","NotApplicable","False","NotManaged","EmployeeID; Department; Title; Manager; UserPrincipalName"
"2026-07-28T10:31:31.2731451-07:00",,"Administrator",,,,,"","True","False","5/30/2026 3:38:54 PM","7/22/2026 6:54:05 PM",,,"","","","","","","","","CN=Users,DC=Corp,DC=local","Administrators; Domain Admins; Domain Users; Enterprise Admins; Group Policy Creator Owners; Schema Admins","Administrators; Domain Admins; Enterprise Admins; Schema Admins","NotApplicable","False","NotManaged","EmployeeID; Department; Title; Manager; UserPrincipalName"
"2026-07-28T10:31:31.2731451-07:00",,"Guest",,,,,"","False","False",,,,,"","","","","","","","","CN=Users,DC=Corp,DC=local","Domain Guests; Guests","","NotApplicable","False","NotManaged","EmployeeID; Department; Title; Manager; UserPrincipalName"
"2026-07-28T10:31:31.2731451-07:00","diabled.user","diabled","diabled@Corp.local",,,,"","False","False","6/21/2026 9:31:40 PM",,,,"","","","","","","","","OU=Disabled Users,DC=Corp,DC=local","Domain Users","","NotApplicable","False","NotManaged","EmployeeID; Department; Title; Manager"
"2026-07-28T10:31:31.2731451-07:00","Elie Admin","elie.admin","elie.admin@Corp.local",,,,"","True","False","7/11/2026 10:41:45 AM","7/11/2026 5:44:04 PM",,,"Security Group","\\FILE01\Departments","\\FILE01\Departments\Security","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","OU=Privileged Accounts,DC=Corp,DC=local","Domain Users; IAM Admins; Security Group","IAM Admins","NotApplicable","True","NotManaged","EmployeeID; Department; Title; Manager"
"2026-07-28T10:31:31.2731451-07:00","iam.admin","iam.admin","iam@Corp.local",,,,"","True","False","6/23/2026 1:26:02 AM","7/21/2026 9:24:42 PM",,,"","","","","","","","","OU=Privileged Accounts,DC=Corp,DC=local","Domain Admins; Domain Users","Domain Admins","NotApplicable","False","NotManaged","EmployeeID; Department; Title; Manager"
"2026-07-28T10:31:31.2731451-07:00","Sarah Johnson","sarah.johnson","sarah.johnson@corp.local",,,,"","True","False",,,,,"","","","","","","","","OU=HR,OU=Departments,DC=Corp,DC=local","Domain Users","","NotApplicable","False","No","EmployeeID; Department; Title; Manager"
"2026-07-28T10:31:31.2731451-07:00","Security Admin","admin.security","admin.security@Corp.local",,,,"","True","False","7/11/2026 10:40:24 AM",,,,"Security Group","\\FILE01\Departments","\\FILE01\Departments\Security","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","OU=Privileged Accounts,DC=Corp,DC=local","Domain Users; Privileged Security Admins; Security Group","Privileged Security Admins","NotApplicable","True","NotManaged","EmployeeID; Department; Title; Manager"
"2026-07-28T10:31:31.2731451-07:00","svc_backup","svc_backup","svc_backup@Corp.local",,,,"","True","False","6/11/2026 8:09:30 PM",,,,"","","","","","","","","OU=Service Accounts,DC=Corp,DC=local","Domain Users","","NotApplicable","False","NotManaged","EmployeeID; Department; Title; Manager"
"2026-07-28T10:31:31.2731451-07:00","svc_splunk","svc_splunk","svc_splunk@Corp.local",,,,"","True","False","6/11/2026 8:10:19 PM",,,,"","","","","","","","","OU=Service Accounts,DC=Corp,DC=local","Domain Users","","NotApplicable","False","NotManaged","EmployeeID; Department; Title; Manager"
"2026-07-28T10:31:31.2731451-07:00","svc_sql","svc_sql","svc_sql@Corp.local",,,,"","True","False","6/11/2026 8:11:02 PM",,,,"","","","","","","","","OU=Service Accounts,DC=Corp,DC=local","Domain Users","","NotApplicable","False","NotManaged","EmployeeID; Department; Title; Manager"
"2026-07-28T10:31:31.2731451-07:00","Henry Woodward","henry.woodward","henry.woodward@Corp.local",,"Accounting","Manager of Accounting","Benjamin Washington","True","False","6/10/2026 9:35:30 PM",,,,"Accounting Group","\\FILE01\Departments","\\FILE01\Departments\Accounting","\\FILE01\Departments\Accounting","S:","Modify","Birthright","Accounting Manager","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group; Domain Users","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Jimmy Button","jimmy.button","jimmy.button@Corp.local",,"Accounting","Account Payable Analyst","Henry Woodward","True","False","6/10/2026 9:32:20 PM",,,,"Accounting Group","\\FILE01\Departments","\\FILE01\Departments\Accounting","\\FILE01\Departments\Accounting","S:","Modify","Birthright","Accounting Manager","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group; Domain Users","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Katie Clark","katie.clark","katie.clark@Corp.local",,"Accounting","Account Receivable Analyst","Henry Woodward","True","False","6/10/2026 9:33:13 PM",,,,"Accounting Group","\\FILE01\Departments","\\FILE01\Departments\Accounting","\\FILE01\Departments\Accounting","S:","Modify","Birthright","Accounting Manager","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group; Domain Users","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Oxana Wetherby","oxana.wetherby","oxana.wetherby@Corp.local",,"Accounting","Account Receivable Analyst","Henry Woodward","True","False","6/10/2026 9:34:22 PM","6/11/2026 10:46:16 PM",,,"Accounting Group","\\FILE01\Departments","\\FILE01\Departments\Accounting","\\FILE01\Departments\Accounting","S:","Modify","Birthright","Accounting Manager","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group; Domain Users","","Yes","True","No","EmployeeID"
