"ReportTimestamp","DisplayName","SamAccountName","EmployeeID","Department","Title","Manager","UserPrincipalName","Enabled","OU","DepartmentGroup","EntitledFolder","JMLReady","MissingAttributes","RecommendedIdentifier","RecommendedAction"
"2026-07-28T10:31:31.2731451-07:00","Sarah Johnson","sarah.johnson",,,,"","sarah.johnson@corp.local","True","OU=HR,OU=Departments,DC=Corp,DC=local","","","No","EmployeeID; Department; Title; Manager","SamAccountName","Populate: EmployeeID, Department, Title, Manager"
"2026-07-28T10:31:31.2731451-07:00","Henry Woodward","henry.woodward",,"Accounting","Manager of Accounting","Benjamin Washington","henry.woodward@Corp.local","True","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group","\\FILE01\Departments\Accounting","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Jimmy Button","jimmy.button",,"Accounting","Account Payable Analyst","Henry Woodward","jimmy.button@Corp.local","True","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group","\\FILE01\Departments\Accounting","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Katie Clark","katie.clark",,"Accounting","Account Receivable Analyst","Henry Woodward","katie.clark@Corp.local","True","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group","\\FILE01\Departments\Accounting","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Oxana Wetherby","oxana.wetherby",,"Accounting","Account Receivable Analyst","Henry Woodward","oxana.wetherby@Corp.local","True","OU=Accounting,OU=Departments,DC=Corp,DC=local","Accounting Group","\\FILE01\Departments\Accounting","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Trent Allen","trent.allen",,"Customer Relations","Customer Service Representative","Trisha Hyatt","trent.allen@Corp.local","True","OU=Customer Relations,OU=Departments,DC=Corp,DC=local","Customer Relations Group","\\FILE01\Departments\Customer Relations","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Trevor Anderson","trevor.anderson",,"Customer Relations","Customer Service Representative","Trisha Hyatt","trevor.anderson@Corp.local","True","OU=Customer Relations,OU=Departments,DC=Corp,DC=local","Customer Relations Group","\\FILE01\Departments\Customer Relations","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Trisha Hyatt","trisha.hyatt",,"Customer Relations","Manager Of Customer Relations","Kathy Arnold","trisha.hyatt@Corp.local","True","OU=Customer Relations,OU=Departments,DC=Corp,DC=local","Customer Relations Group","\\FILE01\Departments\Customer Relations","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Happy Sunday","happy.sunday",,"Engineering","Data Engineer","Lee McCrae","happy.sunday@Corp.local","True","OU=Engineering,OU=Departments,DC=Corp,DC=local","Engineering Group","\\FILE01\Departments\Engineering","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Heather Summer","heather.summer",,"Engineering","Data Analyst","Lee McCrae","heather.summer@Corp.local","True","OU=Engineering,OU=Departments,DC=Corp,DC=local","Engineering Group","\\FILE01\Departments\Engineering","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Kevin Jones","kevin.jones",,"Engineering","Software Engineer","Lee McCrae","kevin.jones@Corp.local","True","OU=Engineering,OU=Departments,DC=Corp,DC=local","Engineering Group","\\FILE01\Departments\Engineering","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Lee McCrae","lee.mccrae",,"Engineering","Manager Of Engineering","William Trent","lee.mccrae@Corp.local","True","OU=Engineering,OU=Departments,DC=Corp,DC=local","Engineering Group","\\FILE01\Departments\Engineering","No","EmployeeID","SamAccountName","Populate: EmployeeID"
