"ReportTimestamp","DisplayName","SamAccountName","EmployeeID","ADDepartment","MappedDepartment","DepartmentGroup","IsGroupMember","MappedDriveRoot","EntitledFolder","DepartmentDriveLetter","ExpectedAccessLevel","AccessType","DataOwner","SharePathExists","DepartmentMatchesMapping","EntitlementCompliant","ComplianceReason"
"2026-07-28T10:31:31.2731451-07:00","Henry Woodward","henry.woodward",,"Accounting","Accounting","Accounting Group","True","\\FILE01\Departments","\\FILE01\Departments\Accounting","S:","Modify","Birthright","Accounting Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Jimmy Button","jimmy.button",,"Accounting","Accounting","Accounting Group","True","\\FILE01\Departments","\\FILE01\Departments\Accounting","S:","Modify","Birthright","Accounting Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Katie Clark","katie.clark",,"Accounting","Accounting","Accounting Group","True","\\FILE01\Departments","\\FILE01\Departments\Accounting","S:","Modify","Birthright","Accounting Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Oxana Wetherby","oxana.wetherby",,"Accounting","Accounting","Accounting Group","True","\\FILE01\Departments","\\FILE01\Departments\Accounting","S:","Modify","Birthright","Accounting Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Joseph Johnson","joseph.jonson",,"Customer Relations","Customer Relations","Customer Relations Group","True","\\FILE01\Departments","\\FILE01\Departments\Customer Relations","S:","Modify","Birthright","Customer Relations Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Shanon Tate","shanon.tate",,"Customer Relations","Customer Relations","Customer Relations Group","True","\\FILE01\Departments","\\FILE01\Departments\Customer Relations","S:","Modify","Birthright","Customer Relations Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Trent Allen","trent.allen",,"Customer Relations","Customer Relations","Customer Relations Group","True","\\FILE01\Departments","\\FILE01\Departments\Customer Relations","S:","Modify","Birthright","Customer Relations Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Trevor Anderson","trevor.anderson",,"Customer Relations","Customer Relations","Customer Relations Group","True","\\FILE01\Departments","\\FILE01\Departments\Customer Relations","S:","Modify","Birthright","Customer Relations Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Trisha Hyatt","trisha.hyatt",,"Customer Relations","Customer Relations","Customer Relations Group","True","\\FILE01\Departments","\\FILE01\Departments\Customer Relations","S:","Modify","Birthright","Customer Relations Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Happy Sunday","happy.sunday",,"Engineering","Engineering","Engineering Group","True","\\FILE01\Departments","\\FILE01\Departments\Engineering","S:","Modify","Birthright","Engineering Manager","True","True","True","Department and group membership match"
